sex,age_in_years,tenure_in_years,year,total_count_sex
F,20,0,2022,1
F,21,0,2022,2
F,21,1,2022,1
F,22,0,2022,5
F,22,1,2022,1
F,23,0,2022,19
F,23,2,2022,1
F,24,0,2022,39
F,24,1,2022,11
F,24,2,2022,2
F,24,3,2022,2
F,24,5,2022,1
F,25,0,2022,70
F,25,1,2022,21
F,25,2,2022,6
F,25,3,2022,4
F,25,4,2022,2
F,25,5,2022,2
F,25,7,2022,1
F,26,0,2022,137
F,26,1,2022,46
F,26,2,2022,24
F,26,3,2022,15
F,26,4,2022,11
F,26,5,2022,1
F,26,6,2022,1
F,27,0,2022,190
F,27,1,2022,87
F,27,2,2022,36
F,27,3,2022,22
F,27,4,2022,16
F,27,5,2022,6
F,27,6,2022,4
F,27,7,2022,1
F,28,0,2022,265
F,28,1,2022,135
F,28,2,2022,70
F,28,3,2022,58
F,28,4,2022,18
F,28,5,2022,8
F,28,6,2022,5
F,28,7,2022,2
F,28,8,2022,1
F,29,0,2022,302
F,29,1,2022,164
F,29,2,2022,114
F,29,3,2022,88
F,29,4,2022,39
F,29,5,2022,17
F,29,6,2022,13
F,29,7,2022,5
F,29,8,2022,2
F,30,0,2022,380
F,30,1,2022,198
F,30,2,2022,126
F,30,3,2022,112
F,30,4,2022,54
F,30,5,2022,34
F,30,6,2022,29
F,30,7,2022,14
F,30,8,2022,5
F,30,9,2022,3
F,30,10,2022,2
F,31,0,2022,388
F,31,1,2022,247
F,31,2,2022,149
F,31,3,2022,123
F,31,4,2022,79
F,31,5,2022,44
F,31,6,2022,32
F,31,7,2022,16
F,31,8,2022,14
F,31,9,2022,7
F,31,10,2022,2
F,31,11,2022,1
F,31,12,2022,1
F,32,0,2022,420
F,32,1,2022,297
F,32,2,2022,196
F,32,3,2022,163
F,32,4,2022,98
F,32,5,2022,86
F,32,6,2022,61
F,32,7,2022,32
F,32,8,2022,13
F,32,9,2022,11
F,32,10,2022,10
F,32,11,2022,2
F,32,12,2022,1
F,33,0,2022,426
F,33,1,2022,306
F,33,2,2022,221
F,33,3,2022,169
F,33,4,2022,138
F,33,5,2022,90
F,33,6,2022,59
F,33,7,2022,36
F,33,8,2022,29
F,33,9,2022,16
F,33,10,2022,7
F,33,11,2022,3
F,33,12,2022,2
F,33,13,2022,1
F,34,0,2022,419
F,34,1,2022,314
F,34,2,2022,174
F,34,3,2022,179
F,34,4,2022,131
F,34,5,2022,120
F,34,6,2022,85
F,34,7,2022,59
F,34,8,2022,45
F,34,9,2022,23
F,34,10,2022,17
F,34,11,2022,9
F,34,12,2022,7
F,34,13,2022,3
F,34,14,2022,1
F,34,15,2022,1
F,34,16,2022,1
F,35,0,2022,417
F,35,1,2022,300
F,35,2,2022,168
F,35,3,2022,188
F,35,4,2022,132
F,35,5,2022,125
F,35,6,2022,109
F,35,7,2022,72
F,35,8,2022,43
F,35,9,2022,31
F,35,10,2022,13
F,35,11,2022,15
F,35,12,2022,11
F,35,13,2022,6
F,35,14,2022,5
F,35,15,2022,3
F,36,0,2022,401
F,36,1,2022,315
F,36,2,2022,185
F,36,3,2022,189
F,36,4,2022,173
F,36,5,2022,130
F,36,6,2022,127
F,36,7,2022,116
F,36,8,2022,63
F,36,9,2022,43
F,36,10,2022,31
F,36,11,2022,17
F,36,12,2022,13
F,36,13,2022,8
F,36,14,2022,4
F,36,15,2022,4
F,37,0,2022,366
F,37,1,2022,285
F,37,2,2022,198
F,37,3,2022,208
F,37,4,2022,183
F,37,5,2022,155
F,37,6,2022,124
F,37,7,2022,83
F,37,8,2022,82
F,37,9,2022,60
F,37,10,2022,46
F,37,11,2022,27
F,37,12,2022,36
F,37,13,2022,24
F,37,14,2022,16
F,37,15,2022,10
F,37,16,2022,2
F,37,17,2022,1
F,37,NA,2022,1
F,38,0,2022,378
F,38,1,2022,275
F,38,2,2022,194
F,38,3,2022,201
F,38,4,2022,173
F,38,5,2022,144
F,38,6,2022,168
F,38,7,2022,120
F,38,8,2022,87
F,38,9,2022,69
F,38,10,2022,52
F,38,11,2022,36
F,38,12,2022,43
F,38,13,2022,34
F,38,14,2022,27
F,38,15,2022,20
F,38,16,2022,6
F,38,17,2022,2
F,38,19,2022,4
F,38,20,2022,1
F,39,0,2022,333
F,39,1,2022,260
F,39,2,2022,177
F,39,3,2022,177
F,39,4,2022,194
F,39,5,2022,131
F,39,6,2022,129
F,39,7,2022,114
F,39,8,2022,97
F,39,9,2022,95
F,39,10,2022,67
F,39,11,2022,61
F,39,12,2022,41
F,39,13,2022,44
F,39,14,2022,49
F,39,15,2022,25
F,39,16,2022,15
F,39,17,2022,5
F,39,18,2022,4
F,39,19,2022,2
F,39,20,2022,1
F,40,0,2022,332
F,40,1,2022,259
F,40,2,2022,176
F,40,3,2022,205
F,40,4,2022,176
F,40,5,2022,156
F,40,6,2022,141
F,40,7,2022,110
F,40,8,2022,115
F,40,9,2022,86
F,40,10,2022,74
F,40,11,2022,69
F,40,12,2022,67
F,40,13,2022,47
F,40,14,2022,44
F,40,15,2022,52
F,40,16,2022,19
F,40,17,2022,15
F,40,18,2022,6
F,40,19,2022,3
F,40,20,2022,3
F,40,21,2022,1
F,41,0,2022,309
F,41,1,2022,252
F,41,2,2022,166
F,41,3,2022,190
F,41,4,2022,171
F,41,5,2022,134
F,41,6,2022,137
F,41,7,2022,117
F,41,8,2022,117
F,41,9,2022,98
F,41,10,2022,88
F,41,11,2022,80
F,41,12,2022,82
F,41,13,2022,62
F,41,14,2022,56
F,41,15,2022,69
F,41,16,2022,31
F,41,17,2022,16
F,41,18,2022,15
F,41,19,2022,10
F,41,20,2022,7
F,41,21,2022,1
F,41,22,2022,1
F,42,0,2022,304
F,42,1,2022,246
F,42,2,2022,151
F,42,3,2022,169
F,42,4,2022,141
F,42,5,2022,126
F,42,6,2022,119
F,42,7,2022,134
F,42,8,2022,121
F,42,9,2022,93
F,42,10,2022,88
F,42,11,2022,88
F,42,12,2022,82
F,42,13,2022,61
F,42,14,2022,88
F,42,15,2022,62
F,42,16,2022,33
F,42,17,2022,22
F,42,18,2022,13
F,42,19,2022,11
F,42,20,2022,5
F,42,21,2022,3
F,42,22,2022,3
F,42,23,2022,1
F,43,0,2022,276
F,43,1,2022,254
F,43,2,2022,168
F,43,3,2022,145
F,43,4,2022,129
F,43,5,2022,133
F,43,6,2022,128
F,43,7,2022,110
F,43,8,2022,104
F,43,9,2022,101
F,43,10,2022,101
F,43,11,2022,100
F,43,12,2022,86
F,43,13,2022,104
F,43,14,2022,91
F,43,15,2022,86
F,43,16,2022,53
F,43,17,2022,34
F,43,18,2022,27
F,43,19,2022,10
F,43,20,2022,21
F,43,21,2022,7
F,43,22,2022,7
F,43,23,2022,5
F,43,24,2022,1
F,44,0,2022,242
F,44,1,2022,207
F,44,2,2022,135
F,44,3,2022,146
F,44,4,2022,135
F,44,5,2022,109
F,44,6,2022,137
F,44,7,2022,124
F,44,8,2022,105
F,44,9,2022,81
F,44,10,2022,85
F,44,11,2022,100
F,44,12,2022,103
F,44,13,2022,117
F,44,14,2022,85
F,44,15,2022,79
F,44,16,2022,61
F,44,17,2022,42
F,44,18,2022,41
F,44,19,2022,36
F,44,20,2022,17
F,44,21,2022,11
F,44,22,2022,8
F,44,23,2022,4
F,44,24,2022,2
F,45,0,2022,230
F,45,1,2022,181
F,45,2,2022,128
F,45,3,2022,131
F,45,4,2022,125
F,45,5,2022,103
F,45,6,2022,106
F,45,7,2022,104
F,45,8,2022,88
F,45,9,2022,96
F,45,10,2022,85
F,45,11,2022,121
F,45,12,2022,99
F,45,13,2022,123
F,45,14,2022,98
F,45,15,2022,89
F,45,16,2022,62
F,45,17,2022,49
F,45,18,2022,31
F,45,19,2022,29
F,45,20,2022,24
F,45,21,2022,19
F,45,22,2022,27
F,45,23,2022,4
F,45,24,2022,3
F,45,25,2022,4
F,45,26,2022,2
F,46,0,2022,201
F,46,1,2022,184
F,46,2,2022,132
F,46,3,2022,124
F,46,4,2022,122
F,46,5,2022,104
F,46,6,2022,110
F,46,7,2022,95
F,46,8,2022,76
F,46,9,2022,90
F,46,10,2022,88
F,46,11,2022,100
F,46,12,2022,92
F,46,13,2022,112
F,46,14,2022,81
F,46,15,2022,108
F,46,16,2022,80
F,46,17,2022,68
F,46,18,2022,61
F,46,19,2022,44
F,46,20,2022,33
F,46,21,2022,17
F,46,22,2022,19
F,46,23,2022,9
F,46,24,2022,6
F,46,25,2022,5
F,46,27,2022,1
F,47,0,2022,166
F,47,1,2022,164
F,47,2,2022,107
F,47,3,2022,83
F,47,4,2022,92
F,47,5,2022,92
F,47,6,2022,101
F,47,7,2022,85
F,47,8,2022,82
F,47,9,2022,70
F,47,10,2022,86
F,47,11,2022,82
F,47,12,2022,83
F,47,13,2022,141
F,47,14,2022,84
F,47,15,2022,98
F,47,16,2022,79
F,47,17,2022,64
F,47,18,2022,64
F,47,19,2022,55
F,47,20,2022,41
F,47,21,2022,35
F,47,22,2022,29
F,47,23,2022,12
F,47,24,2022,5
F,47,25,2022,7
F,47,26,2022,2
F,47,27,2022,1
F,47,28,2022,2
F,48,0,2022,160
F,48,1,2022,144
F,48,2,2022,117
F,48,3,2022,105
F,48,4,2022,92
F,48,5,2022,94
F,48,6,2022,91
F,48,7,2022,94
F,48,8,2022,66
F,48,9,2022,73
F,48,10,2022,95
F,48,11,2022,105
F,48,12,2022,91
F,48,13,2022,115
F,48,14,2022,100
F,48,15,2022,92
F,48,16,2022,85
F,48,17,2022,64
F,48,18,2022,68
F,48,19,2022,49
F,48,20,2022,53
F,48,21,2022,33
F,48,22,2022,36
F,48,23,2022,17
F,48,24,2022,9
F,48,25,2022,7
F,48,26,2022,4
F,48,27,2022,2
F,48,28,2022,3
F,48,30,2022,1
F,49,0,2022,150
F,49,1,2022,139
F,49,2,2022,87
F,49,3,2022,76
F,49,4,2022,78
F,49,5,2022,73
F,49,6,2022,80
F,49,7,2022,74
F,49,8,2022,84
F,49,9,2022,64
F,49,10,2022,75
F,49,11,2022,69
F,49,12,2022,83
F,49,13,2022,123
F,49,14,2022,103
F,49,15,2022,88
F,49,16,2022,94
F,49,17,2022,65
F,49,18,2022,61
F,49,19,2022,60
F,49,20,2022,57
F,49,21,2022,46
F,49,22,2022,40
F,49,23,2022,31
F,49,24,2022,14
F,49,25,2022,14
F,49,26,2022,6
F,49,27,2022,7
F,49,28,2022,3
F,49,29,2022,2
F,49,30,2022,1
F,50,0,2022,151
F,50,1,2022,123
F,50,2,2022,83
F,50,3,2022,84
F,50,4,2022,89
F,50,5,2022,66
F,50,6,2022,84
F,50,7,2022,69
F,50,8,2022,62
F,50,9,2022,68
F,50,10,2022,63
F,50,11,2022,67
F,50,12,2022,67
F,50,13,2022,117
F,50,14,2022,79
F,50,15,2022,83
F,50,16,2022,77
F,50,17,2022,78
F,50,18,2022,71
F,50,19,2022,63
F,50,20,2022,62
F,50,21,2022,58
F,50,22,2022,37
F,50,23,2022,34
F,50,24,2022,25
F,50,25,2022,14
F,50,26,2022,15
F,50,27,2022,12
F,50,28,2022,7
F,50,29,2022,3
F,50,30,2022,3
F,50,31,2022,3
F,51,0,2022,112
F,51,1,2022,106
F,51,2,2022,68
F,51,3,2022,66
F,51,4,2022,60
F,51,5,2022,68
F,51,6,2022,60
F,51,7,2022,64
F,51,8,2022,44
F,51,9,2022,53
F,51,10,2022,58
F,51,11,2022,54
F,51,12,2022,60
F,51,13,2022,106
F,51,14,2022,80
F,51,15,2022,91
F,51,16,2022,63
F,51,17,2022,58
F,51,18,2022,57
F,51,19,2022,61
F,51,20,2022,74
F,51,21,2022,57
F,51,22,2022,65
F,51,23,2022,47
F,51,24,2022,23
F,51,25,2022,26
F,51,26,2022,18
F,51,27,2022,10
F,51,28,2022,11
F,51,29,2022,7
F,51,30,2022,4
F,51,31,2022,2
F,51,32,2022,3
F,51,33,2022,1
F,52,0,2022,103
F,52,1,2022,98
F,52,2,2022,71
F,52,3,2022,61
F,52,4,2022,56
F,52,5,2022,56
F,52,6,2022,57
F,52,7,2022,58
F,52,8,2022,53
F,52,9,2022,47
F,52,10,2022,47
F,52,11,2022,58
F,52,12,2022,54
F,52,13,2022,91
F,52,14,2022,70
F,52,15,2022,67
F,52,16,2022,73
F,52,17,2022,66
F,52,18,2022,58
F,52,19,2022,52
F,52,20,2022,54
F,52,21,2022,48
F,52,22,2022,46
F,52,23,2022,40
F,52,24,2022,34
F,52,25,2022,31
F,52,26,2022,18
F,52,27,2022,21
F,52,28,2022,10
F,52,29,2022,11
F,52,30,2022,10
F,52,31,2022,7
F,52,32,2022,6
F,52,33,2022,8
F,53,0,2022,121
F,53,1,2022,67
F,53,2,2022,52
F,53,3,2022,56
F,53,4,2022,60
F,53,5,2022,52
F,53,6,2022,55
F,53,7,2022,46
F,53,8,2022,45
F,53,9,2022,39
F,53,10,2022,56
F,53,11,2022,41
F,53,12,2022,47
F,53,13,2022,101
F,53,14,2022,82
F,53,15,2022,78
F,53,16,2022,75
F,53,17,2022,56
F,53,18,2022,50
F,53,19,2022,65
F,53,20,2022,64
F,53,21,2022,48
F,53,22,2022,50
F,53,23,2022,33
F,53,24,2022,26
F,53,25,2022,24
F,53,26,2022,27
F,53,27,2022,20
F,53,28,2022,27
F,53,29,2022,19
F,53,30,2022,24
F,53,31,2022,11
F,53,32,2022,16
F,53,33,2022,7
F,53,34,2022,1
F,54,0,2022,102
F,54,1,2022,70
F,54,2,2022,45
F,54,3,2022,54
F,54,4,2022,52
F,54,5,2022,49
F,54,6,2022,44
F,54,7,2022,52
F,54,8,2022,43
F,54,9,2022,41
F,54,10,2022,54
F,54,11,2022,49
F,54,12,2022,56
F,54,13,2022,95
F,54,14,2022,65
F,54,15,2022,57
F,54,16,2022,60
F,54,17,2022,42
F,54,18,2022,48
F,54,19,2022,58
F,54,20,2022,48
F,54,21,2022,59
F,54,22,2022,37
F,54,23,2022,40
F,54,24,2022,34
F,54,25,2022,32
F,54,26,2022,35
F,54,27,2022,18
F,54,28,2022,25
F,54,29,2022,21
F,54,30,2022,15
F,54,31,2022,16
F,54,32,2022,12
F,54,33,2022,16
F,54,34,2022,3
F,55,0,2022,79
F,55,1,2022,56
F,55,2,2022,34
F,55,3,2022,42
F,55,4,2022,52
F,55,5,2022,49
F,55,6,2022,38
F,55,7,2022,33
F,55,8,2022,30
F,55,9,2022,30
F,55,10,2022,38
F,55,11,2022,46
F,55,12,2022,47
F,55,13,2022,81
F,55,14,2022,69
F,55,15,2022,66
F,55,16,2022,62
F,55,17,2022,44
F,55,18,2022,43
F,55,19,2022,37
F,55,20,2022,45
F,55,21,2022,48
F,55,22,2022,49
F,55,23,2022,37
F,55,24,2022,38
F,55,25,2022,35
F,55,26,2022,25
F,55,27,2022,29
F,55,28,2022,17
F,55,29,2022,26
F,55,30,2022,22
F,55,31,2022,17
F,55,32,2022,10
F,55,33,2022,10
F,55,34,2022,10
F,55,35,2022,3
F,55,36,2022,1
F,56,0,2022,60
F,56,1,2022,49
F,56,2,2022,38
F,56,3,2022,29
F,56,4,2022,32
F,56,5,2022,39
F,56,6,2022,41
F,56,7,2022,36
F,56,8,2022,33
F,56,9,2022,32
F,56,10,2022,41
F,56,11,2022,35
F,56,12,2022,38
F,56,13,2022,64
F,56,14,2022,46
F,56,15,2022,55
F,56,16,2022,56
F,56,17,2022,38
F,56,18,2022,41
F,56,19,2022,41
F,56,20,2022,45
F,56,21,2022,47
F,56,22,2022,42
F,56,23,2022,44
F,56,24,2022,38
F,56,25,2022,28
F,56,26,2022,26
F,56,27,2022,30
F,56,28,2022,32
F,56,29,2022,26
F,56,30,2022,19
F,56,31,2022,26
F,56,32,2022,21
F,56,33,2022,15
F,56,34,2022,8
F,56,35,2022,6
F,56,36,2022,8
F,56,37,2022,1
F,57,0,2022,55
F,57,1,2022,41
F,57,2,2022,22
F,57,3,2022,32
F,57,4,2022,40
F,57,5,2022,32
F,57,6,2022,33
F,57,7,2022,31
F,57,8,2022,30
F,57,9,2022,31
F,57,10,2022,37
F,57,11,2022,38
F,57,12,2022,33
F,57,13,2022,59
F,57,14,2022,48
F,57,15,2022,59
F,57,16,2022,48
F,57,17,2022,39
F,57,18,2022,35
F,57,19,2022,42
F,57,20,2022,51
F,57,21,2022,35
F,57,22,2022,35
F,57,23,2022,35
F,57,24,2022,31
F,57,25,2022,34
F,57,26,2022,25
F,57,27,2022,23
F,57,28,2022,34
F,57,29,2022,23
F,57,30,2022,16
F,57,31,2022,20
F,57,32,2022,27
F,57,33,2022,14
F,57,34,2022,8
F,57,35,2022,3
F,57,36,2022,3
F,57,37,2022,1
F,57,38,2022,2
F,57,39,2022,1
F,58,0,2022,48
F,58,1,2022,39
F,58,2,2022,38
F,58,3,2022,36
F,58,4,2022,25
F,58,5,2022,30
F,58,6,2022,22
F,58,7,2022,30
F,58,8,2022,36
F,58,9,2022,34
F,58,10,2022,33
F,58,11,2022,34
F,58,12,2022,42
F,58,13,2022,70
F,58,14,2022,41
F,58,15,2022,50
F,58,16,2022,48
F,58,17,2022,31
F,58,18,2022,30
F,58,19,2022,28
F,58,20,2022,52
F,58,21,2022,38
F,58,22,2022,27
F,58,23,2022,34
F,58,24,2022,32
F,58,25,2022,24
F,58,26,2022,26
F,58,27,2022,24
F,58,28,2022,21
F,58,29,2022,28
F,58,30,2022,31
F,58,31,2022,27
F,58,32,2022,24
F,58,33,2022,23
F,58,34,2022,8
F,58,35,2022,5
F,58,36,2022,4
F,58,37,2022,6
F,58,38,2022,1
F,59,0,2022,46
F,59,1,2022,25
F,59,2,2022,19
F,59,3,2022,16
F,59,4,2022,25
F,59,5,2022,26
F,59,6,2022,30
F,59,7,2022,30
F,59,8,2022,27
F,59,9,2022,21
F,59,10,2022,22
F,59,11,2022,35
F,59,12,2022,48
F,59,13,2022,54
F,59,14,2022,39
F,59,15,2022,51
F,59,16,2022,51
F,59,17,2022,29
F,59,18,2022,37
F,59,19,2022,40
F,59,20,2022,34
F,59,21,2022,31
F,59,22,2022,41
F,59,23,2022,36
F,59,24,2022,35
F,59,25,2022,26
F,59,26,2022,21
F,59,27,2022,22
F,59,28,2022,20
F,59,29,2022,28
F,59,30,2022,25
F,59,31,2022,16
F,59,32,2022,19
F,59,33,2022,23
F,59,34,2022,14
F,59,35,2022,6
F,59,36,2022,5
F,59,37,2022,14
F,59,38,2022,3
F,59,39,2022,2
F,59,40,2022,1
F,59,41,2022,1
F,60,0,2022,35
F,60,1,2022,33
F,60,2,2022,23
F,60,3,2022,18
F,60,4,2022,27
F,60,5,2022,21
F,60,6,2022,28
F,60,7,2022,25
F,60,8,2022,28
F,60,9,2022,22
F,60,10,2022,32
F,60,11,2022,30
F,60,12,2022,31
F,60,13,2022,48
F,60,14,2022,36
F,60,15,2022,45
F,60,16,2022,42
F,60,17,2022,27
F,60,18,2022,45
F,60,19,2022,27
F,60,20,2022,34
F,60,21,2022,36
F,60,22,2022,37
F,60,23,2022,32
F,60,24,2022,22
F,60,25,2022,18
F,60,26,2022,18
F,60,27,2022,27
F,60,28,2022,22
F,60,29,2022,12
F,60,30,2022,15
F,60,31,2022,28
F,60,32,2022,19
F,60,33,2022,16
F,60,34,2022,13
F,60,35,2022,8
F,60,36,2022,4
F,60,37,2022,9
F,60,38,2022,2
F,60,40,2022,3
F,60,42,2022,1
F,60,43,2022,1
F,61,0,2022,26
F,61,1,2022,27
F,61,2,2022,16
F,61,3,2022,24
F,61,4,2022,18
F,61,5,2022,14
F,61,6,2022,18
F,61,7,2022,14
F,61,8,2022,23
F,61,9,2022,17
F,61,10,2022,24
F,61,11,2022,30
F,61,12,2022,28
F,61,13,2022,43
F,61,14,2022,46
F,61,15,2022,54
F,61,16,2022,39
F,61,17,2022,22
F,61,18,2022,21
F,61,19,2022,31
F,61,20,2022,32
F,61,21,2022,32
F,61,22,2022,17
F,61,23,2022,25
F,61,24,2022,29
F,61,25,2022,25
F,61,26,2022,11
F,61,27,2022,18
F,61,28,2022,15
F,61,29,2022,24
F,61,30,2022,17
F,61,31,2022,18
F,61,32,2022,17
F,61,33,2022,23
F,61,34,2022,11
F,61,35,2022,10
F,61,36,2022,5
F,61,37,2022,1
F,61,38,2022,6
F,61,39,2022,1
F,61,40,2022,4
F,61,41,2022,3
F,61,43,2022,2
F,62,0,2022,35
F,62,1,2022,18
F,62,2,2022,11
F,62,3,2022,14
F,62,4,2022,13
F,62,5,2022,6
F,62,6,2022,14
F,62,7,2022,19
F,62,8,2022,13
F,62,9,2022,23
F,62,10,2022,11
F,62,11,2022,16
F,62,12,2022,19
F,62,13,2022,32
F,62,14,2022,25
F,62,15,2022,30
F,62,16,2022,18
F,62,17,2022,26
F,62,18,2022,20
F,62,19,2022,28
F,62,20,2022,33
F,62,21,2022,25
F,62,22,2022,23
F,62,23,2022,18
F,62,24,2022,21
F,62,25,2022,11
F,62,26,2022,14
F,62,27,2022,20
F,62,28,2022,7
F,62,29,2022,14
F,62,30,2022,16
F,62,31,2022,13
F,62,32,2022,14
F,62,33,2022,15
F,62,34,2022,4
F,62,35,2022,6
F,62,36,2022,3
F,62,37,2022,13
F,62,38,2022,7
F,62,39,2022,2
F,62,40,2022,3
F,62,41,2022,1
F,62,42,2022,1
F,62,43,2022,1
F,63,0,2022,14
F,63,1,2022,15
F,63,2,2022,7
F,63,3,2022,8
F,63,4,2022,14
F,63,5,2022,11
F,63,6,2022,10
F,63,7,2022,9
F,63,8,2022,11
F,63,9,2022,15
F,63,10,2022,14
F,63,11,2022,10
F,63,12,2022,14
F,63,13,2022,47
F,63,14,2022,28
F,63,15,2022,29
F,63,16,2022,22
F,63,17,2022,12
F,63,18,2022,18
F,63,19,2022,27
F,63,20,2022,18
F,63,21,2022,15
F,63,22,2022,24
F,63,23,2022,13
F,63,24,2022,24
F,63,25,2022,11
F,63,26,2022,14
F,63,27,2022,6
F,63,28,2022,13
F,63,29,2022,14
F,63,30,2022,14
F,63,31,2022,14
F,63,32,2022,11
F,63,33,2022,17
F,63,34,2022,7
F,63,35,2022,11
F,63,36,2022,5
F,63,37,2022,7
F,63,38,2022,1
F,63,39,2022,3
F,63,40,2022,2
F,63,41,2022,2
F,63,42,2022,4
F,63,43,2022,4
F,63,44,2022,1
F,64,0,2022,16
F,64,1,2022,9
F,64,2,2022,3
F,64,3,2022,14
F,64,4,2022,10
F,64,5,2022,8
F,64,6,2022,7
F,64,7,2022,14
F,64,8,2022,7
F,64,9,2022,7
F,64,10,2022,10
F,64,11,2022,13
F,64,12,2022,17
F,64,13,2022,23
F,64,14,2022,22
F,64,15,2022,21
F,64,16,2022,15
F,64,17,2022,17
F,64,18,2022,31
F,64,19,2022,15
F,64,20,2022,21
F,64,21,2022,16
F,64,22,2022,24
F,64,23,2022,12
F,64,24,2022,9
F,64,25,2022,9
F,64,26,2022,13
F,64,27,2022,11
F,64,28,2022,11
F,64,29,2022,16
F,64,30,2022,10
F,64,31,2022,5
F,64,32,2022,9
F,64,33,2022,14
F,64,34,2022,5
F,64,35,2022,2
F,64,37,2022,2
F,64,38,2022,7
F,64,39,2022,2
F,64,40,2022,1
F,64,41,2022,2
F,64,42,2022,2
F,64,43,2022,1
F,64,45,2022,1
F,65,0,2022,13
F,65,1,2022,4
F,65,2,2022,1
F,65,4,2022,2
F,65,5,2022,6
F,65,6,2022,2
F,65,7,2022,2
F,65,8,2022,6
F,65,9,2022,2
F,65,10,2022,1
F,65,12,2022,2
F,65,13,2022,4
F,65,15,2022,3
F,65,16,2022,4
F,65,19,2022,6
F,65,20,2022,2
F,65,21,2022,1
F,65,22,2022,2
F,65,23,2022,3
F,65,24,2022,1
F,65,25,2022,2
F,65,27,2022,2
F,65,28,2022,4
F,65,29,2022,2
F,65,30,2022,1
F,65,31,2022,2
F,65,32,2022,2
F,65,33,2022,1
F,65,38,2022,1
F,65,39,2022,1
F,65,41,2022,2
F,66,0,2022,19
F,66,1,2022,5
F,66,2,2022,1
F,66,6,2022,1
F,66,7,2022,1
F,66,16,2022,3
F,67,0,2022,8
F,67,1,2022,3
F,67,2,2022,1
F,67,3,2022,1
F,67,4,2022,1
F,67,6,2022,1
F,67,15,2022,1
F,68,0,2022,11
F,68,1,2022,2
F,68,4,2022,1
F,68,5,2022,1
F,68,8,2022,2
F,68,10,2022,1
F,68,21,2022,1
F,68,23,2022,1
F,68,39,2022,1
F,69,0,2022,16
F,69,1,2022,4
F,69,4,2022,2
F,69,6,2022,1
F,69,8,2022,2
F,69,14,2022,1
F,69,16,2022,3
F,70,0,2022,5
F,70,1,2022,2
F,70,4,2022,1
F,70,7,2022,1
F,70,9,2022,1
F,70,10,2022,1
F,70,30,2022,1
F,71,0,2022,11
F,71,1,2022,2
F,71,4,2022,2
F,71,9,2022,1
F,71,11,2022,1
F,71,12,2022,1
F,71,14,2022,1
F,71,16,2022,1
F,72,0,2022,10
F,72,1,2022,2
F,72,3,2022,1
F,72,5,2022,1
F,73,0,2022,5
F,73,1,2022,1
F,73,5,2022,1
F,73,8,2022,2
F,73,11,2022,1
F,74,0,2022,7
F,74,1,2022,2
F,74,12,2022,2
F,75,0,2022,6
F,75,4,2022,1
F,75,12,2022,1
F,76,0,2022,2
F,76,1,2022,1
F,76,16,2022,1
F,77,0,2022,1
F,77,3,2022,1
F,78,0,2022,2
F,78,3,2022,1
F,78,16,2022,1
F,79,0,2022,2
F,80,0,2022,1
F,81,12,2022,1
F,82,12,2022,1
